step,loss
0,32.91423034667969
1000,0.022265421226620674
2000,0.010654343292117119
3000,0.003794194897636771
4000,0.0053800721652805805
5000,0.007801481056958437
6000,0.0034492823760956526
7000,0.0013229420874267817
8000,0.0007672627689316869
9000,0.0036113986279815435
10000,0.0008644517511129379
